X,Y,OBJECTID,station_id,sara_short,results,units,latitude_m,longitude_,waterbody_,Result1,Geomean,result1Min,result1Max,date,dates,isEndDate,recent_dat,rec_date,max_date,max_dat,URL,URLName,ESRI_OID,GlobalID,county_name
-98.4982,29.4316,86529,S0069,San Pedro Creek Culture Park,17000,MPN/100ml,29.43162,-98.49822,San Pedro Creek,17000,727,10,1400000,2018/10/16,2018/10/17 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,3aa872cc-d0e9-48f8-a3a3-08b23ff4444c,Bexar
-98.4982,29.4316,86530,S0069,San Pedro Creek Culture Park,8700,MPN/100ml,29.43162,-98.49822,San Pedro Creek,8700,727,10,1400000,2018/10/17,2018/10/18 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,31ba2c44-feb5-49f3-8d2f-9e818e5fdb8b,Bexar
-98.4982,29.4316,86531,S0069,San Pedro Creek Culture Park,870,MPN/100ml,29.43162,-98.49822,San Pedro Creek,870,727,10,1400000,2018/10/18,2018/10/19 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,dad920ec-2750-4437-9047-621efcb9b839,Bexar
-98.4982,29.4316,86532,S0069,San Pedro Creek Culture Park,2400,MPN/100ml,29.43162,-98.49822,San Pedro Creek,2400,727,10,1400000,2018/10/07,2018/10/08 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,cb980745-a51a-4494-aedd-0aa93b55cfed,Bexar
-98.4982,29.4316,86533,S0069,San Pedro Creek Culture Park,4400,MPN/100ml,29.43162,-98.49822,San Pedro Creek,4400,727,10,1400000,2018/10/08,2018/10/09 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,12b26db5-b181-450b-88f6-d385bc64a395,Bexar
-98.4982,29.4316,86534,S0069,San Pedro Creek Culture Park,37000,MPN/100ml,29.43162,-98.49822,San Pedro Creek,37000,727,10,1400000,2018/10/09,2018/10/10 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,777a5de4-5394-450a-b267-ba1e0c7b6f8c,Bexar
-98.4982,29.4316,86535,S0069,San Pedro Creek Culture Park,5500,MPN/100ml,29.43162,-98.49822,San Pedro Creek,5500,727,10,1400000,2018/10/10,2018/10/11 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,dcac4b4e-5e30-470c-b1e4-3c00f4e80e85,Bexar
-98.4982,29.4316,86536,S0069,San Pedro Creek Culture Park,1700,MPN/100ml,29.43162,-98.49822,San Pedro Creek,1700,727,10,1400000,2018/10/11,2018/10/12 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,f28410d4-1cb4-47c3-a598-e77ca6c9e0bc,Bexar
-98.4982,29.4316,86537,S0069,San Pedro Creek Culture Park,730,MPN/100ml,29.43162,-98.49822,San Pedro Creek,730,727,10,1400000,2018/10/12,2018/10/13 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,e8c38e8b-e7a9-491d-9a80-c5e278518ffa,Bexar
-98.4982,29.4316,86538,S0069,San Pedro Creek Culture Park,520,MPN/100ml,29.43162,-98.49822,San Pedro Creek,520,727,10,1400000,2018/09/30,2018/10/01 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,c2cb7ae9-e12c-48ab-bb13-01a4981a6709,Bexar
-98.4982,29.4316,86539,S0069,San Pedro Creek Culture Park,410,MPN/100ml,29.43162,-98.49822,San Pedro Creek,410,727,10,1400000,2018/10/01,2018/10/02 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,6a1d1c98-ea81-4c94-bfb3-68ed49bb3882,Bexar
-98.4982,29.4316,86540,S0069,San Pedro Creek Culture Park,690,MPN/100ml,29.43162,-98.49822,San Pedro Creek,690,727,10,1400000,2018/10/02,2018/10/03 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,d57dd732-1f1b-4417-b017-07235fd6998e,Bexar
-98.4982,29.4316,86541,S0069,San Pedro Creek Culture Park,280,MPN/100ml,29.43162,-98.49822,San Pedro Creek,280,727,10,1400000,2018/10/03,2018/10/04 00:00:00+00,0,,2022/03/31 00:00:00+00,2019/08/16,2019/08/17 00:00:00+00,,,,5363e615-3475-44ef-8266-ffb16ffcff62,Bexar
